name,E125_1,E125_2,E145_1,E145_2,P0_1,P0_2,P07_1,P07_2,P21_1,P21_2,Adult_1,Adult_2
ENSMUSG00000032397,2003.903074,2081.59443,1809.51553,1729.186639,536.6432449,711.1185967,807.5003786,584.0129961,764.2213034,660.7588132,1530.482639,1306.393953
ENSMUSG00000032398,427.5403335,429.9249951,387.2244773,409.3276858,580.1910738,737.3177029,653.7307956,616.7613884,1034.353909,940.5508249,1079.480934,1308.549719
ENSMUSG00000032399,36008.73874,34558.11453,38769.83275,39946.8168,34149.53743,36175.72583,27729.78147,26157.77835,33832.37725,34520.58851,39780.0208,36904.55129
ENSMUSG00000032400,597.4799265,695.0337197,516.052506,608.8492211,170.1715159,269.4765209,573.0647848,473.0323333,99.27950467,259.806868,106.4865138,726.4930069
ENSMUSG00000032402,3306.516968,3382.590949,1854.67938,1890.312278,1498.045313,1300.972759,1327.628094,1449.116359,504.4784133,515.8665215,258.9083865,476.4241974
ENSMUSG00000032403,83.04740292,92.57764985,69.59675117,71.99230655,88.43559093,101.8022412,73.10357226,109.1613077,90.04420191,204.8477228,365.3949002,263.0034031
ENSMUSG00000032405,1052.702728,1133.374865,1062.461042,1024.347676,738.9731575,677.4340316,883.9650347,890.5743351,483.698982,548.34238,273.5241825,616.5489614
ENSMUSG00000032407,3420.322668,3367.16134,3308.807245,3068.243541,1862.507142,2188.748186,1901.53315,1810.258352,951.2361843,1179.123478,528.2566272,644.5739142
ENSMUSG00000032409,858.1564968,976.2733984,872.1805626,892.7046012,592.2504726,488.0519211,624.3213125,482.1291089,240.1178718,989.2646127,567.9280735,58.20567118
ENSMUSG00000032410,1623.269144,1747.052468,1722.149396,1138.849726,2344.213126,956.641649,1343.593242,982.4517691,420.2062756,457.1601619,352.8670751,353.5455583
ENSMUSG00000032411,1950.845011,2504.505967,1122.43271,1124.451264,1384.820958,1169.977228,1073.025997,976.9937037,673.0226886,889.3388942,787.1650137,862.3062397
ENSMUSG00000032412,2705.192254,2413.331009,2297.43318,2286.612784,1734.543522,2029.307911,2145.211724,1817.535773,2075.634295,2329.518311,1889.613627,2237.684692
ENSMUSG00000032413,650.5379895,635.419324,758.1603532,608.8492211,801.9500177,783.7275482,803.2990239,964.2582178,1142.868717,1119.168047,964.6425366,1315.017016
ENSMUSG00000032418,332.9585691,235.6521996,179.1746147,202.9497404,355.7522635,528.4733992,861.2777192,819.6194852,1765.09724,938.0526819,1457.403659,1174.892252
ENSMUSG00000032420,23.83768047,23.84575829,68.11596923,112.4451264,1774.071551,1516.553976,3205.633657,3019.219835,2844.47325,4205.623675,2138.082159,1705.210589
ENSMUSG00000032422,458.2986309,469.9017076,695.9675117,683.5840917,1107.454786,1047.215702,1123.442254,1090.703399,1470.721964,1580.075423,2309.29577,1780.662385
ENSMUSG00000032423,7315.861031,6883.007997,5619.567462,5995.245033,3572.2619,3523.40551,3530.818513,3388.548926,2464.671424,1922.321009,1987.748257,1806.531572
